day,month,year,province,health_zone,confirmed_cases
16,9,2019,North Kivu,Alimbongo,5
17,9,2019,North Kivu,Alimbongo,5
18,9,2019,North Kivu,Alimbongo,5
19,9,2019,North Kivu,Alimbongo,5
20,9,2019,North Kivu,Alimbongo,5
21,9,2019,North Kivu,Alimbongo,5
22,9,2019,North Kivu,Alimbongo,5
23,9,2019,North Kivu,Alimbongo,5
24,9,2019,North Kivu,Alimbongo,5
25,9,2019,North Kivu,Alimbongo,5
26,9,2019,North Kivu,Alimbongo,5
27,9,2019,North Kivu,Alimbongo,5
28,9,2019,North Kivu,Alimbongo,5
29,9,2019,North Kivu,Alimbongo,5
30,9,2019,North Kivu,Alimbongo,5
1,10,2019,North Kivu,Alimbongo,5
2,10,2019,North Kivu,Alimbongo,5
3,10,2019,North Kivu,Alimbongo,5
4,10,2019,North Kivu,Alimbongo,5
5,10,2019,North Kivu,Alimbongo,5
6,10,2019,North Kivu,Alimbongo,5
7,10,2019,North Kivu,Alimbongo,5
8,10,2019,North Kivu,Alimbongo,5
9,10,2019,North Kivu,Alimbongo,5
10,10,2019,North Kivu,Alimbongo,5
11,10,2019,North Kivu,Alimbongo,5
12,10,2019,North Kivu,Alimbongo,5
13,10,2019,North Kivu,Alimbongo,5
14,10,2019,North Kivu,Alimbongo,5
15,10,2019,North Kivu,Alimbongo,5
16,10,2019,North Kivu,Alimbongo,5
17,10,2019,North Kivu,Alimbongo,5
18,10,2019,North Kivu,Alimbongo,5
19,10,2019,North Kivu,Alimbongo,5
20,10,2019,North Kivu,Alimbongo,5
21,10,2019,North Kivu,Alimbongo,5
22,10,2019,North Kivu,Alimbongo,5
23,10,2019,North Kivu,Alimbongo,5
24,10,2019,North Kivu,Alimbongo,5
25,10,2019,North Kivu,Alimbongo,5
26,10,2019,North Kivu,Alimbongo,5
27,10,2019,North Kivu,Alimbongo,5
28,10,2019,North Kivu,Alimbongo,5
29,10,2019,North Kivu,Alimbongo,5
30,10,2019,North Kivu,Alimbongo,5
31,10,2019,North Kivu,Alimbongo,5
1,11,2019,North Kivu,Alimbongo,5
2,11,2019,North Kivu,Alimbongo,5
3,11,2019,North Kivu,Alimbongo,5
4,11,2019,North Kivu,Alimbongo,5
5,11,2019,North Kivu,Alimbongo,5
6,11,2019,North Kivu,Alimbongo,5
7,11,2019,North Kivu,Alimbongo,5
8,11,2019,North Kivu,Alimbongo,5
9,11,2019,North Kivu,Alimbongo,5
10,11,2019,North Kivu,Alimbongo,5
11,11,2019,North Kivu,Alimbongo,5
12,11,2019,North Kivu,Alimbongo,5
13,11,2019,North Kivu,Alimbongo,5
14,11,2019,North Kivu,Alimbongo,5
15,11,2019,North Kivu,Alimbongo,5
16,11,2019,North Kivu,Alimbongo,5
17,11,2019,North Kivu,Alimbongo,5
18,11,2019,North Kivu,Alimbongo,5
19,11,2019,North Kivu,Alimbongo,5
20,11,2019,North Kivu,Alimbongo,5
21,11,2019,North Kivu,Alimbongo,5
22,11,2019,North Kivu,Alimbongo,5
23,11,2019,North Kivu,Alimbongo,5
24,11,2019,North Kivu,Alimbongo,5
25,11,2019,North Kivu,Alimbongo,5
26,11,2019,North Kivu,Alimbongo,5
27,11,2019,North Kivu,Alimbongo,5
28,11,2019,North Kivu,Alimbongo,5
29,11,2019,North Kivu,Alimbongo,5
30,11,2019,North Kivu,Alimbongo,5
1,12,2019,North Kivu,Alimbongo,5
2,12,2019,North Kivu,Alimbongo,5
3,12,2019,North Kivu,Alimbongo,5
4,12,2019,North Kivu,Alimbongo,5
5,12,2019,North Kivu,Alimbongo,5
6,12,2019,North Kivu,Alimbongo,5
7,12,2019,North Kivu,Alimbongo,5
8,12,2019,North Kivu,Alimbongo,5
9,12,2019,North Kivu,Alimbongo,5
10,12,2019,North Kivu,Alimbongo,5
11,12,2019,North Kivu,Alimbongo,5
12,12,2019,North Kivu,Alimbongo,5
13,12,2019,North Kivu,Alimbongo,5
14,12,2019,North Kivu,Alimbongo,5
15,12,2019,North Kivu,Alimbongo,5
16,12,2019,North Kivu,Alimbongo,5
17,12,2019,North Kivu,Alimbongo,5
18,12,2019,North Kivu,Alimbongo,5
19,12,2019,North Kivu,Alimbongo,5
20,12,2019,North Kivu,Alimbongo,5
21,12,2019,North Kivu,Alimbongo,5
22,12,2019,North Kivu,Alimbongo,5
23,12,2019,North Kivu,Alimbongo,5
24,12,2019,North Kivu,Alimbongo,5
25,12,2019,North Kivu,Alimbongo,5
26,12,2019,North Kivu,Alimbongo,5
27,12,2019,North Kivu,Alimbongo,5
28,12,2019,North Kivu,Alimbongo,5
29,12,2019,North Kivu,Alimbongo,5
30,12,2019,North Kivu,Alimbongo,5
31,12,2019,North Kivu,Alimbongo,5
1,2,2019,North Kivu,Mangurujipa,5
2,2,2019,North Kivu,Mangurujipa,5
3,2,2019,North Kivu,Mangurujipa,5
4,2,2019,North Kivu,Mangurujipa,5
5,2,2019,North Kivu,Mangurujipa,5
6,2,2019,North Kivu,Mangurujipa,5
7,2,2019,North Kivu,Mangurujipa,5
8,2,2019,North Kivu,Mangurujipa,5
9,2,2019,North Kivu,Mangurujipa,5
10,2,2019,North Kivu,Mangurujipa,5
11,2,2019,North Kivu,Mangurujipa,5
12,2,2019,North Kivu,Mangurujipa,5
13,2,2019,North Kivu,Mangurujipa,5
14,2,2019,North Kivu,Mangurujipa,5
15,2,2019,North Kivu,Mangurujipa,5
16,2,2019,North Kivu,Mangurujipa,5
17,2,2019,North Kivu,Mangurujipa,5
18,2,2019,North Kivu,Mangurujipa,5
19,2,2019,North Kivu,Mangurujipa,5
20,2,2019,North Kivu,Mangurujipa,5
21,2,2019,North Kivu,Mangurujipa,5
22,2,2019,North Kivu,Mangurujipa,5
23,2,2019,North Kivu,Mangurujipa,5
24,2,2019,North Kivu,Mangurujipa,5
25,2,2019,North Kivu,Mangurujipa,5
26,2,2019,North Kivu,Mangurujipa,5
27,2,2019,North Kivu,Mangurujipa,5
28,2,2019,North Kivu,Mangurujipa,5
1,3,2019,North Kivu,Mangurujipa,5
2,3,2019,North Kivu,Mangurujipa,5
3,3,2019,North Kivu,Mangurujipa,5
4,3,2019,North Kivu,Mangurujipa,5
5,3,2019,North Kivu,Mangurujipa,5
6,3,2019,North Kivu,Mangurujipa,5
7,3,2019,North Kivu,Mangurujipa,5
8,3,2019,North Kivu,Mangurujipa,5
9,3,2019,North Kivu,Mangurujipa,5
10,3,2019,North Kivu,Mangurujipa,5
11,3,2019,North Kivu,Mangurujipa,5
12,3,2019,North Kivu,Mangurujipa,5
13,3,2019,North Kivu,Mangurujipa,5
14,3,2019,North Kivu,Mangurujipa,5
15,3,2019,North Kivu,Mangurujipa,5
16,3,2019,North Kivu,Mangurujipa,5
17,3,2019,North Kivu,Mangurujipa,5
18,3,2019,North Kivu,Mangurujipa,5
19,3,2019,North Kivu,Mangurujipa,5
20,3,2019,North Kivu,Mangurujipa,5
21,3,2019,North Kivu,Mangurujipa,5
22,3,2019,North Kivu,Mangurujipa,5
23,3,2019,North Kivu,Mangurujipa,5
24,3,2019,North Kivu,Mangurujipa,5
25,3,2019,North Kivu,Mangurujipa,5
26,3,2019,North Kivu,Mangurujipa,5
27,3,2019,North Kivu,Mangurujipa,5
28,3,2019,North Kivu,Mangurujipa,5
29,3,2019,North Kivu,Mangurujipa,5
30,3,2019,North Kivu,Mangurujipa,5
31,3,2019,North Kivu,Mangurujipa,5
1,4,2019,North Kivu,Mangurujipa,5
2,4,2019,North Kivu,Mangurujipa,5
3,4,2019,North Kivu,Mangurujipa,5
4,4,2019,North Kivu,Mangurujipa,5
5,4,2019,North Kivu,Mangurujipa,5
6,4,2019,North Kivu,Mangurujipa,5
7,4,2019,North Kivu,Mangurujipa,5
8,4,2019,North Kivu,Mangurujipa,5
9,4,2019,North Kivu,Mangurujipa,5
10,4,2019,North Kivu,Mangurujipa,5
11,4,2019,North Kivu,Mangurujipa,5
12,4,2019,North Kivu,Mangurujipa,5
13,4,2019,North Kivu,Mangurujipa,5
14,4,2019,North Kivu,Mangurujipa,5
15,4,2019,North Kivu,Mangurujipa,5
16,4,2019,North Kivu,Mangurujipa,5
17,4,2019,North Kivu,Mangurujipa,5
18,4,2019,North Kivu,Mangurujipa,5
19,4,2019,North Kivu,Mangurujipa,5
20,4,2019,North Kivu,Mangurujipa,5
21,4,2019,North Kivu,Mangurujipa,5
22,4,2019,North Kivu,Mangurujipa,5
23,4,2019,North Kivu,Mangurujipa,5
24,4,2019,North Kivu,Mangurujipa,5
25,4,2019,North Kivu,Mangurujipa,5
26,4,2019,North Kivu,Mangurujipa,5
27,4,2019,North Kivu,Mangurujipa,5
28,4,2019,North Kivu,Mangurujipa,5
29,4,2019,North Kivu,Mangurujipa,5
30,4,2019,North Kivu,Mangurujipa,5
1,5,2019,North Kivu,Mangurujipa,5
2,5,2019,North Kivu,Mangurujipa,5
3,5,2019,North Kivu,Mangurujipa,5
4,5,2019,North Kivu,Mangurujipa,5
5,5,2019,North Kivu,Mangurujipa,5
6,5,2019,North Kivu,Mangurujipa,5
7,5,2019,North Kivu,Mangurujipa,5
8,5,2019,North Kivu,Mangurujipa,5
14,1,2019,North Kivu,Musienene,5
15,1,2019,North Kivu,Musienene,5
16,1,2019,North Kivu,Musienene,5
22,1,2019,North Kivu,Kayina,5
23,1,2019,North Kivu,Biena,5
23,1,2019,North Kivu,Kayina,5
24,1,2019,North Kivu,Kayina,5
25,1,2019,North Kivu,Kayina,5
26,1,2019,North Kivu,Kayina,5
27,1,2019,North Kivu,Kayina,5
28,1,2019,North Kivu,Kayina,5
29,1,2019,North Kivu,Kayina,5
30,1,2019,North Kivu,Kayina,5
31,1,2019,North Kivu,Biena,5
31,1,2019,North Kivu,Kayina,5
1,2,2019,North Kivu,Kayina,5
1,2,2019,North Kivu,Biena,5
2,2,2019,North Kivu,Biena,5
2,2,2019,North Kivu,Kayina,5
3,2,2019,North Kivu,Biena,5
3,2,2019,North Kivu,Kayina,5
4,2,2019,North Kivu,Biena,5
4,2,2019,North Kivu,Kayina,5
5,2,2019,North Kivu,Biena,5
5,2,2019,North Kivu,Kayina,5
6,2,2019,North Kivu,Kayina,5
6,2,2019,North Kivu,Biena,5
7,2,2019,North Kivu,Biena,5
7,2,2019,North Kivu,Kayina,5
8,2,2019,North Kivu,Biena,5
8,2,2019,North Kivu,Kayina,5
9,2,2019,North Kivu,Biena,5
9,2,2019,North Kivu,Kayina,5
10,2,2019,North Kivu,Biena,5
10,2,2019,North Kivu,Kayina,5
11,2,2019,North Kivu,Biena,5
11,2,2019,North Kivu,Kayina,5
12,2,2019,North Kivu,Biena,5
12,2,2019,North Kivu,Kayina,5
13,2,2019,North Kivu,Kayina,5
13,2,2019,North Kivu,Biena,5
14,2,2019,North Kivu,Biena,5
14,2,2019,North Kivu,Kayina,5
15,2,2019,North Kivu,Biena,5
15,2,2019,North Kivu,Kayina,5
16,2,2019,North Kivu,Kayina,5
16,2,2019,North Kivu,Biena,5
17,2,2019,North Kivu,Biena,5
17,2,2019,North Kivu,Kayina,5
18,2,2019,North Kivu,Kayina,5
18,2,2019,North Kivu,Biena,5
19,2,2019,North Kivu,Biena,5
19,2,2019,North Kivu,Kayina,5
20,2,2019,North Kivu,Biena,5
20,2,2019,North Kivu,Kayina,5
21,2,2019,North Kivu,Biena,5
21,2,2019,North Kivu,Kayina,5
22,2,2019,North Kivu,Kayina,5
22,2,2019,North Kivu,Biena,5
23,2,2019,North Kivu,Biena,5
23,2,2019,North Kivu,Kayina,5
24,2,2019,North Kivu,Biena,5
24,2,2019,North Kivu,Kayina,5
25,2,2019,North Kivu,Kayina,5
25,2,2019,North Kivu,Biena,5
26,2,2019,North Kivu,Biena,5
26,2,2019,North Kivu,Kayina,5
27,2,2019,North Kivu,Biena,5
27,2,2019,North Kivu,Kayina,5
28,2,2019,North Kivu,Biena,5
28,2,2019,North Kivu,Kayina,5
1,3,2019,North Kivu,Biena,5
1,3,2019,North Kivu,Kayina,5
2,3,2019,North Kivu,Biena,5
2,3,2019,North Kivu,Kayina,5
3,3,2019,North Kivu,Biena,5
3,3,2019,North Kivu,Kayina,5
4,3,2019,North Kivu,Kayina,5
4,3,2019,North Kivu,Biena,5
5,3,2019,North Kivu,Biena,5
5,3,2019,North Kivu,Kayina,5
6,3,2019,North Kivu,Kayina,5
6,3,2019,North Kivu,Biena,5
7,3,2019,North Kivu,Kayina,5
7,3,2019,North Kivu,Biena,5
8,3,2019,North Kivu,Biena,5
8,3,2019,North Kivu,Kayina,5
9,3,2019,North Kivu,Kayina,5
9,3,2019,North Kivu,Biena,5
10,3,2019,North Kivu,Kayina,5
11,3,2019,North Kivu,Kayina,5
12,3,2019,North Kivu,Kayina,5
13,3,2019,North Kivu,Kayina,5
28,4,2019,North Kivu,Mutwanga,5
29,4,2019,North Kivu,Mutwanga,5
30,4,2019,North Kivu,Mutwanga,5
1,5,2019,North Kivu,Mutwanga,5
2,5,2019,North Kivu,Mutwanga,5
3,5,2019,North Kivu,Mutwanga,5
4,5,2019,North Kivu,Mutwanga,5
5,5,2019,North Kivu,Mutwanga,5
6,5,2019,North Kivu,Mutwanga,5
7,5,2019,North Kivu,Mutwanga,5
8,5,2019,North Kivu,Mutwanga,5
9,5,2019,North Kivu,Mutwanga,5
10,5,2019,North Kivu,Mutwanga,5
11,5,2019,North Kivu,Mutwanga,5
12,5,2019,North Kivu,Mutwanga,5
13,5,2019,North Kivu,Mutwanga,5
14,5,2019,North Kivu,Mutwanga,5
15,5,2019,North Kivu,Mutwanga,5
16,5,2019,North Kivu,Mutwanga,5
17,5,2019,North Kivu,Mutwanga,5
18,5,2019,North Kivu,Mutwanga,5
19,5,2019,North Kivu,Mutwanga,5
20,5,2019,North Kivu,Mutwanga,5
21,5,2019,North Kivu,Mutwanga,5
22,5,2019,North Kivu,Mutwanga,5
23,5,2019,North Kivu,Mutwanga,5
24,5,2019,North Kivu,Mutwanga,5
25,5,2019,North Kivu,Mutwanga,5
26,5,2019,North Kivu,Mutwanga,5
27,5,2019,North Kivu,Mutwanga,5
28,5,2019,North Kivu,Mutwanga,5
29,5,2019,North Kivu,Mutwanga,5
30,5,2019,North Kivu,Mutwanga,5
31,5,2019,North Kivu,Mutwanga,5
1,6,2019,North Kivu,Mutwanga,5
2,6,2019,North Kivu,Mutwanga,5
3,6,2019,North Kivu,Mutwanga,5
4,6,2019,North Kivu,Mutwanga,5
5,6,2019,North Kivu,Mutwanga,5
6,6,2019,North Kivu,Mutwanga,5
7,6,2019,North Kivu,Mutwanga,5
8,6,2019,North Kivu,Mutwanga,5
9,6,2019,North Kivu,Mutwanga,5
10,6,2019,North Kivu,Mutwanga,5
11,6,2019,North Kivu,Mutwanga,5
12,6,2019,North Kivu,Mutwanga,5
13,6,2019,North Kivu,Mutwanga,5
14,6,2019,North Kivu,Mutwanga,5
15,6,2019,North Kivu,Mutwanga,5
1,1,2019,North Kivu,Biena,1
2,1,2019,North Kivu,Biena,1
3,1,2019,North Kivu,Biena,1
4,1,2019,North Kivu,Biena,1
5,1,2019,North Kivu,Biena,1
6,1,2019,North Kivu,Biena,1
7,1,2019,North Kivu,Biena,1
8,1,2019,North Kivu,Biena,1
14,1,2019,North Kivu,Mangurujipa,1
15,1,2019,North Kivu,Mangurujipa,1
21,1,2019,North Kivu,Mangurujipa,1
7,3,2019,North Kivu,Lubero,1
8,3,2019,North Kivu,Lubero,1
9,3,2019,North Kivu,Lubero,1
10,3,2019,North Kivu,Lubero,1
11,3,2019,North Kivu,Lubero,1
12,3,2019,North Kivu,Lubero,1
13,5,2019,North Kivu,Alimbongo,1
14,5,2019,North Kivu,Alimbongo,1
15,5,2019,North Kivu,Alimbongo,1
16,5,2019,North Kivu,Alimbongo,1
17,5,2019,North Kivu,Alimbongo,1
18,5,2019,North Kivu,Alimbongo,1
19,5,2019,North Kivu,Alimbongo,1
20,5,2019,North Kivu,Alimbongo,1
21,5,2019,North Kivu,Alimbongo,1
22,5,2019,North Kivu,Alimbongo,1
23,5,2019,North Kivu,Alimbongo,1
24,5,2019,North Kivu,Alimbongo,1
25,5,2019,North Kivu,Alimbongo,1
26,5,2019,North Kivu,Alimbongo,1
27,5,2019,North Kivu,Alimbongo,1
28,5,2019,North Kivu,Alimbongo,1
29,5,2019,North Kivu,Alimbongo,1
30,5,2019,North Kivu,Alimbongo,1
31,5,2019,North Kivu,Alimbongo,1
1,6,2019,North Kivu,Alimbongo,1
2,6,2019,North Kivu,Alimbongo,1
3,6,2019,North Kivu,Alimbongo,1
4,6,2019,North Kivu,Alimbongo,1
5,6,2019,North Kivu,Alimbongo,1
6,6,2019,North Kivu,Alimbongo,1
7,6,2019,North Kivu,Alimbongo,1
8,6,2019,North Kivu,Alimbongo,1
9,6,2019,North Kivu,Alimbongo,1
10,6,2019,North Kivu,Alimbongo,1
11,6,2019,North Kivu,Alimbongo,1
12,6,2019,North Kivu,Alimbongo,1
13,6,2019,North Kivu,Alimbongo,1
14,6,2019,North Kivu,Alimbongo,1
15,6,2019,North Kivu,Alimbongo,1
16,6,2019,North Kivu,Alimbongo,1
17,6,2019,North Kivu,Alimbongo,1
18,6,2019,North Kivu,Alimbongo,1
30,7,2019,North Kivu,Nyiragongo,1
17,8,2019,North Kivu,Pinga,1
18,8,2019,North Kivu,Pinga,1
19,8,2019,North Kivu,Pinga,1
20,8,2019,North Kivu,Pinga,1
21,8,2019,North Kivu,Pinga,1
22,8,2019,North Kivu,Pinga,1
23,8,2019,North Kivu,Pinga,1
24,8,2019,North Kivu,Pinga,1
25,8,2019,North Kivu,Pinga,1
26,8,2019,North Kivu,Pinga,1
27,8,2019,North Kivu,Pinga,1
28,8,2019,North Kivu,Pinga,1
29,8,2019,North Kivu,Pinga,1
30,8,2019,North Kivu,Pinga,1
31,8,2019,North Kivu,Pinga,1
1,9,2019,North Kivu,Pinga,1
2,9,2019,North Kivu,Pinga,1
3,9,2019,North Kivu,Pinga,1
4,9,2019,North Kivu,Pinga,1
5,9,2019,North Kivu,Pinga,1
6,9,2019,North Kivu,Pinga,1
7,9,2019,North Kivu,Pinga,1
8,9,2019,North Kivu,Pinga,1
9,9,2019,North Kivu,Pinga,1
10,9,2019,North Kivu,Pinga,1
11,9,2019,North Kivu,Pinga,1
12,9,2019,North Kivu,Pinga,1
13,9,2019,North Kivu,Pinga,1
14,9,2019,North Kivu,Pinga,1
15,9,2019,North Kivu,Pinga,1
16,9,2019,North Kivu,Pinga,1
17,9,2019,North Kivu,Pinga,1
18,9,2019,North Kivu,Pinga,1
19,9,2019,North Kivu,Pinga,1
20,9,2019,North Kivu,Pinga,1
21,9,2019,North Kivu,Pinga,1
22,9,2019,North Kivu,Pinga,1
23,9,2019,North Kivu,Pinga,1
24,9,2019,North Kivu,Pinga,1
25,9,2019,North Kivu,Pinga,1
26,9,2019,North Kivu,Pinga,1
27,9,2019,North Kivu,Pinga,1
28,9,2019,North Kivu,Pinga,1
29,9,2019,North Kivu,Pinga,1
30,9,2019,North Kivu,Pinga,1
1,10,2019,North Kivu,Pinga,1
2,10,2019,North Kivu,Pinga,1
3,10,2019,North Kivu,Pinga,1
4,10,2019,North Kivu,Pinga,1
5,10,2019,North Kivu,Pinga,1
6,10,2019,North Kivu,Pinga,1
7,10,2019,North Kivu,Pinga,1
8,10,2019,North Kivu,Pinga,1
9,10,2019,North Kivu,Pinga,1
10,10,2019,North Kivu,Pinga,1
11,10,2019,North Kivu,Pinga,1
12,10,2019,North Kivu,Pinga,1
13,10,2019,North Kivu,Pinga,1
14,10,2019,North Kivu,Pinga,1
15,10,2019,North Kivu,Pinga,1
16,10,2019,North Kivu,Pinga,1
17,10,2019,North Kivu,Pinga,1
18,10,2019,North Kivu,Pinga,1
19,10,2019,North Kivu,Pinga,1
20,10,2019,North Kivu,Pinga,1
21,10,2019,North Kivu,Pinga,1
22,10,2019,North Kivu,Pinga,1
23,10,2019,North Kivu,Pinga,1
24,10,2019,North Kivu,Pinga,1
25,10,2019,North Kivu,Pinga,1
26,10,2019,North Kivu,Pinga,1
27,10,2019,North Kivu,Pinga,1
28,10,2019,North Kivu,Pinga,1
29,10,2019,North Kivu,Pinga,1
30,10,2019,North Kivu,Pinga,1
31,10,2019,North Kivu,Pinga,1
1,11,2019,North Kivu,Pinga,1
2,11,2019,North Kivu,Pinga,1
3,11,2019,North Kivu,Pinga,1
4,11,2019,North Kivu,Pinga,1
5,11,2019,North Kivu,Pinga,1
6,11,2019,North Kivu,Pinga,1
7,11,2019,North Kivu,Pinga,1
8,11,2019,North Kivu,Pinga,1
9,11,2019,North Kivu,Pinga,1
10,11,2019,North Kivu,Pinga,1
11,11,2019,North Kivu,Pinga,1
12,11,2019,North Kivu,Pinga,1
13,11,2019,North Kivu,Pinga,1
14,11,2019,North Kivu,Pinga,1
15,11,2019,North Kivu,Pinga,1
16,11,2019,North Kivu,Pinga,1
17,11,2019,North Kivu,Pinga,1
18,11,2019,North Kivu,Pinga,1
19,11,2019,North Kivu,Pinga,1
20,11,2019,North Kivu,Pinga,1
21,11,2019,North Kivu,Pinga,1
22,11,2019,North Kivu,Pinga,1
23,11,2019,North Kivu,Pinga,1
24,11,2019,North Kivu,Pinga,1
25,11,2019,North Kivu,Pinga,1
26,11,2019,North Kivu,Pinga,1
27,11,2019,North Kivu,Pinga,1
28,11,2019,North Kivu,Pinga,1
29,11,2019,North Kivu,Pinga,1
30,11,2019,North Kivu,Pinga,1
1,12,2019,North Kivu,Pinga,1
2,12,2019,North Kivu,Pinga,1
3,12,2019,North Kivu,Pinga,1
4,12,2019,North Kivu,Pinga,1
5,12,2019,North Kivu,Pinga,1
6,12,2019,North Kivu,Pinga,1
7,12,2019,North Kivu,Pinga,1
8,12,2019,North Kivu,Pinga,1
9,12,2019,North Kivu,Pinga,1
10,12,2019,North Kivu,Pinga,1
11,12,2019,North Kivu,Pinga,1
12,12,2019,North Kivu,Pinga,1
13,12,2019,North Kivu,Pinga,1
14,12,2019,North Kivu,Pinga,1
15,12,2019,North Kivu,Pinga,1
16,12,2019,North Kivu,Pinga,1
17,12,2019,North Kivu,Pinga,1
18,12,2019,North Kivu,Pinga,1
19,12,2019,North Kivu,Pinga,1
20,12,2019,North Kivu,Pinga,1
21,12,2019,North Kivu,Pinga,1
22,12,2019,North Kivu,Pinga,1
23,12,2019,North Kivu,Pinga,1
24,12,2019,North Kivu,Pinga,1
25,12,2019,North Kivu,Pinga,1
26,12,2019,North Kivu,Pinga,1
27,12,2019,North Kivu,Pinga,1
28,12,2019,North Kivu,Pinga,1
29,12,2019,North Kivu,Pinga,1
30,12,2019,North Kivu,Pinga,1
31,12,2019,North Kivu,Pinga,1
14,7,2019,North Kivu,Goma,1
15,7,2019,North Kivu,Goma,1
16,7,2019,North Kivu,Goma,1
17,7,2019,North Kivu,Goma,1
18,7,2019,North Kivu,Goma,1
19,7,2019,North Kivu,Goma,1
20,7,2019,North Kivu,Goma,1
21,7,2019,North Kivu,Goma,1
30,7,2019,North Kivu,Goma,1
31,7,2019,North Kivu,Goma,1
1,8,2019,North Kivu,Goma,1
2,8,2019,North Kivu,Goma,1
3,8,2019,North Kivu,Goma,1
4,8,2019,North Kivu,Goma,1
6,8,2019,North Kivu,Goma,1
7,8,2019,North Kivu,Goma,1
8,8,2019,North Kivu,Goma,1
9,8,2019,North Kivu,Goma,1
10,8,2019,North Kivu,Goma,1
11,8,2019,North Kivu,Goma,1
12,8,2019,North Kivu,Goma,1
13,8,2019,North Kivu,Goma,1
14,8,2019,North Kivu,Goma,1
15,8,2019,North Kivu,Goma,1
16,8,2019,North Kivu,Goma,1
17,8,2019,North Kivu,Goma,1
18,8,2019,North Kivu,Goma,1
19,8,2019,North Kivu,Goma,1
20,8,2019,North Kivu,Goma,1
21,8,2019,North Kivu,Goma,1
22,8,2019,North Kivu,Goma,1
23,8,2019,North Kivu,Goma,1
24,8,2019,North Kivu,Goma,1
25,8,2019,North Kivu,Goma,1
26,8,2019,North Kivu,Goma,1
27,8,2019,North Kivu,Goma,1
28,8,2019,North Kivu,Goma,1
29,8,2019,North Kivu,Goma,1
30,8,2019,North Kivu,Goma,1
31,8,2019,North Kivu,Goma,1
1,9,2019,North Kivu,Goma,1
2,9,2019,North Kivu,Goma,1
3,9,2019,North Kivu,Goma,1
4,9,2019,North Kivu,Goma,1
5,9,2019,North Kivu,Goma,1
6,9,2019,North Kivu,Goma,1
7,9,2019,North Kivu,Goma,1
8,9,2019,North Kivu,Goma,1
9,9,2019,North Kivu,Goma,1
10,9,2019,North Kivu,Goma,1
11,9,2019,North Kivu,Goma,1
12,9,2019,North Kivu,Goma,1
13,9,2019,North Kivu,Goma,1
14,9,2019,North Kivu,Goma,1
15,9,2019,North Kivu,Goma,1
16,9,2019,North Kivu,Goma,1
17,9,2019,North Kivu,Goma,1
18,9,2019,North Kivu,Goma,1
19,9,2019,North Kivu,Goma,1
20,9,2019,North Kivu,Goma,1
21,9,2019,North Kivu,Goma,1
22,9,2019,North Kivu,Goma,1
23,9,2019,North Kivu,Goma,1
24,9,2019,North Kivu,Goma,1
25,9,2019,North Kivu,Goma,1
26,9,2019,North Kivu,Goma,1
27,9,2019,North Kivu,Goma,1
28,9,2019,North Kivu,Goma,1
29,9,2019,North Kivu,Goma,1
30,9,2019,North Kivu,Goma,1
1,10,2019,North Kivu,Goma,1
2,10,2019,North Kivu,Goma,1
3,10,2019,North Kivu,Goma,1
4,10,2019,North Kivu,Goma,1
5,10,2019,North Kivu,Goma,1
6,10,2019,North Kivu,Goma,1
7,10,2019,North Kivu,Goma,1
8,10,2019,North Kivu,Goma,1
9,10,2019,North Kivu,Goma,1
10,10,2019,North Kivu,Goma,1
11,10,2019,North Kivu,Goma,1
